chemical,water_type,month_start,metric,n,n_sites,nd_frac,mean_value,median_value,ci_low,ci_high
ortho,surface_water,2017-07-01,mean,5,5,0.40000000000000002,0.1706,NULL,6.1499999999999999E-2,0.24333333333333337
ortho,surface_water,2017-07-01,median,5,5,0.40000000000000002,NULL,0.17899999999999999,6.1499999999999999E-2,0.20100000000000001
ortho,surface_water,2017-08-01,mean,5,4,0.25,0.187,NULL,6.6500000000000004E-2,0.26733333333333337
ortho,surface_water,2017-08-01,median,5,4,0.25,NULL,0.25800000000000001,6.6500000000000004E-2,0.26100000000000001
ortho,surface_water,2017-09-01,mean,3,3,0.0,5.3999999999999999E-2,NULL,5.0000000000000001E-3,9.5000000000000015E-2
ortho,surface_water,2017-09-01,median,3,3,0.0,NULL,0.062,5.0000000000000001E-3,9.5000000000000001E-2
ortho,surface_water,2017-10-01,mean,2,5,0.66666666666666663,7.1499999999999994E-2,NULL,5.3999999999999999E-2,8.8999999999999996E-2
ortho,surface_water,2017-10-01,median,2,5,0.66666666666666663,NULL,7.1499999999999994E-2,5.3999999999999999E-2,8.8999999999999996E-2
ortho,surface_water,2017-11-01,mean,3,4,0.5714285714285714,6.0666666666666667E-2,NULL,4.0000000000000001E-3,0.10299999999999999
ortho,surface_water,2017-11-01,median,3,4,0.5714285714285714,NULL,7.4999999999999997E-2,4.0000000000000001E-3,0.10299999999999999
ortho,surface_water,2017-12-01,mean,4,4,0.33333333333333331,4.9500000000000002E-2,NULL,7.4999999999999997E-3,0.10375
ortho,surface_water,2017-12-01,median,4,4,0.33333333333333331,NULL,0.0385,5.0000000000000001E-3,0.11600000000000001
ortho,surface_water,2018-01-01,mean,2,4,0.5714285714285714,8.3500000000000005E-2,NULL,5.2999999999999999E-2,0.114
ortho,surface_water,2018-01-01,median,2,4,0.5714285714285714,NULL,8.3500000000000005E-2,5.2999999999999999E-2,0.114
ortho,surface_water,2018-02-01,mean,5,4,0.0,4.9000000000000002E-2,NULL,4.0000000000000001E-3,0.08199999999999999
ortho,surface_water,2018-02-01,median,5,4,0.0,NULL,0.047,4.0000000000000001E-3,9.1999999999999998E-2
ortho,surface_water,2018-03-01,mean,4,4,0.2857142857142857,6.3500000000000001E-2,NULL,0.0395,8.7500000000000008E-2
ortho,surface_water,2018-03-01,median,4,4,0.2857142857142857,NULL,6.1499999999999999E-2,0.0395,8.7499999999999994E-2
ortho,surface_water,2018-04-01,mean,5,4,0.0,6.1600000000000009E-2,NULL,5.0000000000000001E-3,0.11199999999999999
ortho,surface_water,2018-04-01,median,5,4,0.0,NULL,4.1000000000000002E-2,5.0000000000000001E-3,0.112
ortho,surface_water,2018-05-01,mean,6,4,0.25,7.0333333333333345E-2,NULL,5.0000000000000001E-3,0.11166666666666668
ortho,surface_water,2018-05-01,median,6,4,0.25,NULL,7.2500000000000009E-2,5.0000000000000001E-3,0.108
ortho,surface_water,2018-06-01,mean,6,6,0.36363636363636365,8.6166666666666655E-2,NULL,8.0000000000000002E-3,0.1343333333333333
ortho,surface_water,2018-06-01,median,6,6,0.36363636363636365,NULL,8.6499999999999994E-2,8.0000000000000002E-3,0.12
ortho,surface_water,2018-07-01,mean,5,4,0.2857142857142857,0.1434,NULL,5.0000000000000001E-3,0.22333333333333336
ortho,surface_water,2018-07-01,median,5,4,0.2857142857142857,NULL,0.13200000000000001,5.0000000000000001E-3,0.23400000000000001
ortho,surface_water,2018-08-01,mean,7,6,0.20000000000000001,9.4428571428571431E-2,NULL,2.2499999999999999E-2,0.151
ortho,surface_water,2018-08-01,median,7,6,0.20000000000000001,NULL,5.9999999999999998E-2,4.0000000000000001E-3,0.16500000000000001
ortho,surface_water,2018-09-01,mean,6,7,0.40000000000000002,7.0499999999999993E-2,NULL,3.3000000000000002E-2,9.7166666666666665E-2
ortho,surface_water,2018-09-01,median,6,7,0.40000000000000002,NULL,7.2500000000000009E-2,5.0000000000000001E-3,0.106
ortho,surface_water,2018-10-01,mean,5,7,0.40000000000000002,7.1600000000000011E-2,NULL,3.4999999999999996E-2,0.1004
ortho,surface_water,2018-10-01,median,5,7,0.40000000000000002,NULL,7.6999999999999999E-2,5.0000000000000001E-3,0.11600000000000001
ortho,surface_water,2018-11-01,mean,4,6,0.59999999999999998,7.9750000000000001E-2,NULL,7.5999999999999998E-2,8.3500000000000005E-2
ortho,surface_water,2018-11-01,median,4,6,0.59999999999999998,NULL,8.0500000000000002E-2,7.3999999999999996E-2,8.4000000000000005E-2
ortho,surface_water,2018-12-01,mean,5,6,0.25,8.0200000000000007E-2,NULL,0.039,0.10980999999999992
ortho,surface_water,2018-12-01,median,5,6,0.25,NULL,9.0999999999999998E-2,4.0000000000000001E-3,0.123
ortho,surface_water,2019-01-01,mean,2,3,0.5,7.6999999999999999E-2,NULL,7.5999999999999998E-2,0.078
ortho,surface_water,2019-01-01,median,2,3,0.5,NULL,7.6999999999999999E-2,7.5999999999999998E-2,0.078
ortho,surface_water,2019-03-01,mean,8,5,0.0,7.5500000000000012E-2,NULL,3.1222222222222224E-2,0.11692222222222204
ortho,surface_water,2019-03-01,median,8,5,0.0,NULL,7.7499999999999999E-2,7.0000000000000001E-3,0.129
ortho,surface_water,2019-04-01,mean,7,7,0.20000000000000001,0.06528571428571428,NULL,3.3500000000000002E-2,8.8333333333333347E-2
ortho,surface_water,2019-04-01,median,7,7,0.20000000000000001,NULL,0.063,3.0499999999999999E-2,8.8999999999999996E-2
ortho,surface_water,2019-05-01,mean,7,5,0.22222222222222221,8.4285714285714297E-2,NULL,0.06257142857142857,0.10539999999999998
ortho,surface_water,2019-05-01,median,7,5,0.22222222222222221,NULL,7.1999999999999995E-2,6.5000000000000002E-2,0.112
ortho,surface_water,2019-06-01,mean,6,7,0.36363636363636365,9.2666666666666675E-2,NULL,7.1999999999999995E-2,0.12371428571428571
ortho,surface_water,2019-06-01,median,6,7,0.36363636363636365,NULL,7.4999999999999997E-2,7.0999999999999994E-2,0.127
ortho,surface_water,2019-07-01,mean,8,6,0.33333333333333331,0.11599999999999999,NULL,4.0666666666666677E-2,0.16788888888888887
